SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-26-2020,Single Family Residential,21531 Jefferson Beach Rd NE,Kingston,WA,98346,440005,3,1.75,Kingston,1759,23522,1992,193,250,13,Sold,,,http://www.redfin.com/WA/Kingston/21531-Jefferson-Beach-Rd-NE-98346/home/2374960,NWMLS,1559303,N,Y,47.7576483,-122.4774738
PAST SALE,July-12-2019,Single Family Residential,22096 Brambly Pl NE,Kingston,WA,98346,869000,4,3,Kingston,4326,218236,2007,422,201,,Sold,,,http://www.redfin.com/WA/Kingston/22096-Brambly-Pl-NE-98346/home/11762552,NWMLS,1447044,N,Y,47.7630317,-122.4801825
PAST SALE,July-12-2019,Single Family Residential,24610 Taree Blvd NE,Kingston,WA,98346,660000,2,2.5,Kingston,2423,13068,1981,422,272,13,Sold,,,http://www.redfin.com/WA/Kingston/24610-Taree-Blvd-NE-98346/home/2369421,NWMLS,1455349,N,Y,47.7865472,-122.5007883
PAST SALE,November-15-2018,Single Family Residential,27503 Serene Dr NE,Kingston,WA,98346,269900,3,2,Gamblewood,1138,10019,1991,661,237,4,Sold,,,http://www.redfin.com/WA/Kingston/27503-Serene-Dr-NE-98346/home/2366446,NWMLS,1352293,N,Y,47.8123634,-122.5756204
PAST SALE,June-26-2019,Single Family Residential,5421 NE Gamblewood Rd,Kingston,WA,98346,305000,3,2,Gamblewood,1504,10890,2005,438,203,,Sold,,,http://www.redfin.com/WA/Kingston/5421-NE-Gamblewood-Rd-98346/home/2366353,NWMLS,1481642,N,Y,47.8130731,-122.5762321
PAST SALE,January-15-2019,Vacant Land,Seatter Rd NE,Kingston,WA,98346,105000,0,,President Point,,110642,,600,,,Sold,,,http://www.redfin.com/WA/Kingston/Seatter-Rd-NE-98346/unit-2/home/18901613,NWMLS,1346950,N,Y,47.759363,-122.487471
PAST SALE,October-3-2018,Vacant Land,12279 NE South Villa Dr Ct,Kingston,WA,98346,90000,0,,Jefferson Beach,,15682,,704,,,Sold,,,http://www.redfin.com/WA/Kingston/12279-NE-South-Villa-Dr-98346/home/147483720,NWMLS,1372475,N,Y,47.776343,-122.486398
PAST SALE,December-31-2018,Vacant Land,Bodine Rd,Hansville,WA,98340,50000,0,,Eglon,,110207,,615,,,Sold,,,http://www.redfin.com/WA/Hansville/Bodine-Rd-NE-98346/home/22092295,NWMLS,742026,N,Y,47.872952,-122.523827
PAST SALE,June-28-2019,Single Family Residential,21829 Virginia Pl NE,Kingston,WA,98346,395000,3,1.75,Jefferson Beach,1368,23087,1991,436,289,10,Sold,,,http://www.redfin.com/WA/Kingston/21829-Virginia-Pl-NE-98346/home/2375496,NWMLS,1463720,N,Y,47.7605128,-122.479421
PAST SALE,July-31-2019,Vacant Land,21356 Jefferson Beach Rd NE,Kingston,WA,98346,85000,0,,Jefferson Beach,,20038,,403,,,Sold,,,http://www.redfin.com/WA/Kingston/21356-Jefferson-Beach-Rd-NE-98346/home/21627824,NWMLS,1480627,N,Y,47.756229,-122.477403
PAST SALE,June-14-2019,Single Family Residential,22843 Tranquility Pl NE,Kingston,WA,98346,721200,2,2.25,Kingston,2508,46174,2010,450,288,75,Sold,,,http://www.redfin.com/WA/Kingston/22843-Tranquility-Pl-NE-98346/home/12099308,NWMLS,1437349,N,Y,47.7699966,-122.5244933
PAST SALE,July-30-2019,Single Family Residential,21775 Virginia Pl NE,Kingston,WA,98346,395000,3,1.75,Jefferson Beach,1368,23087,1991,404,289,9,Sold,,,http://www.redfin.com/WA/Kingston/21775-Virginia-Pl-NE-98346/home/2375500,NWMLS,1469603,N,Y,47.760262,-122.4793988
PAST SALE,October-5-2018,Single Family Residential,2778 NE Alderwood Lane,Kingston,WA,98346,525000,3,1.75,President Point,2218,44867,1979,702,237,,Sold,,,http://www.redfin.com/WA/Kingston/2778-NE-Alderwood-Ln-98346/home/2142735,NWMLS,1331646,N,Y,47.7693442,-122.4851946
PAST SALE,May-29-2019,Single Family Residential,22852 Indianola Rd NE,Poulsbo,WA,98370,369000,3,1.75,Indianola,1886,45302,1974,466,196,,Sold,,,http://www.redfin.com/WA/Poulsbo/22852-Indianola-Rd-NE-98370/home/2161678,NWMLS,1390211,N,Y,47.769495,-122.553981
PAST SALE,February-14-2019,Single Family Residential,10565 NE Cummings Ct,Kingston,WA,98346,498000,3,2.5,President Point,2442,216493,2004,570,204,,Sold,,,http://www.redfin.com/WA/Kingston/10565-NE-Cummings-Ct-98346/home/2534239,NWMLS,1385322,N,Y,47.7666744,-122.5058865
PAST SALE,May-21-2019,Single Family Residential,12633 NE Paul Dr,Kingston,WA,98346,380500,3,1.75,Jefferson Beach,1226,36591,1993,474,310,9,Sold,,,http://www.redfin.com/WA/Kingston/12633-NE-Paul-Dr-98346/home/2374319,NWMLS,1446637,N,Y,47.748677,-122.4795427
PAST SALE,October-3-2018,Townhouse,10595 NE Kingston Meadow Cir Unit 28-3,Kingston,WA,98346,259000,3,2.5,Kingston,1329,,2004,704,195,337,Sold,,,http://www.redfin.com/WA/Kingston/10595-NE-Kingston-Meadow-Cir-98346/unit-28-3/home/147401801,NWMLS,1370869,N,Y,47.8065534,-122.5054899
PAST SALE,October-24-2018,Single Family Residential,25719 Seabrook Place NE,Kingston,WA,98346,495000,3,2.5,Kingston,1860,7405,2018,683,266,,Sold,,,http://www.redfin.com/WA/Kingston/25719-Seabrook-Pl-NE-98346/home/143241110,NWMLS,1241729,N,Y,47.7966361,-122.5103083
PAST SALE,January-25-2019,Single Family Residential,11080 NE 272nd St,Kingston,WA,98346,380000,3,2,Kingston,1728,43560,1918,590,220,,Sold,,,http://www.redfin.com/WA/Kingston/11080-NE-272nd-St-98346/home/2253194,NWMLS,1381097,N,Y,47.8097448,-122.5008937
PAST SALE,January-18-2019,Single Family Residential,27069 Meadow Cir NE,Kingston,WA,98346,260000,3,1.75,Gamblewood,1088,11761,1991,597,239,5,Sold,,,http://www.redfin.com/WA/Kingston/27069-Meadow-Cir-NE-98346/home/2366135,NWMLS,1386196,N,Y,47.8086276,-122.5746415
PAST SALE,June-12-2019,Single Family Residential,11053 NE Oregon St,Kingston,WA,98346,615000,4,3,Kingston,3540,6311,2005,452,174,,Sold,,,http://www.redfin.com/WA/Kingston/11053-NE-Oregon-St-98346/home/2521820,NWMLS,1365343,N,Y,47.7996907,-122.5005783
PAST SALE,June-10-2019,Single Family Residential,26414 Kingsview Lp NE,Kingston,WA,98346,481000,4,2.75,Kingston,1948,7841,1986,454,247,,Sold,,,http://www.redfin.com/WA/Kingston/26414-Kingsview-Loop-NE-98346/home/2370348,NWMLS,1440794,N,Y,47.8027437,-122.4974617
PAST SALE,June-28-2019,Single Family Residential,26406 NE Barrett Rd,Kingston,WA,98346,320000,3,2,Kingston,1105,5663,2003,436,290,,Sold,,,http://www.redfin.com/WA/Kingston/26406-Barrett-Rd-NE-98346/home/2522157,NWMLS,1452795,N,Y,47.8013135,-122.5084863
