zipcode,population,land,population_density,units,units_occupied,med_value,med_income,calc_pd
98178,24092,4.85,4966,9290,8668,283100.0,58707.0,4967.422680412372
98125,37081,5.39,6879,18677,17169,372000.0,53044.0,6879.591836734694
98028,20419,5.66,3606,8566,7981,386200.0,82448.0,3607.5971731448763
98136,14770,2.3,6425,7533,7069,445700.0,84344.0,6421.739130434783
98074,25748,10.68,2411,8942,8626,556000.0,143686.0,2410.861423220974
98053,18784,28.37,662,7652,7108,544500.0,116518.0,662.1078604159324
98003,44151,11.62,3800,18436,17250,221600.0,45894.0,3799.569707401033
98198,34584,7.79,4441,14328,13106,258500.0,56364.0,4439.537869062901
98146,25922,4.65,5573,10222,9611,308400.0,56809.0,5574.623655913978
98038,31171,66.49,469,11387,10854,317700.0,95043.0,468.8073394495413
98007,24889,4.38,5684,10996,10315,379000.0,73162.0,5682.420091324201
98115,46206,6.58,7018,21623,20456,492700.0,84159.0,7022.188449848024
98107,21147,2.2,9602,12360,11284,447700.0,67566.0,9612.272727272726
98126,20698,3.07,6732,9805,9190,358100.0,66408.0,6742.019543973942
98019,10725,76.33,141,3907,3708,376600.0,95025.0,140.50831914057383
98103,45911,4.64,9905,24128,22724,478200.0,75763.0,9894.612068965518
98002,31647,7.15,4423,13480,12495,167100.0,43568.0,4426.153846153846
98133,44555,7.1,6279,21903,20180,326400.0,51499.0,6275.352112676057
98040,22699,6.32,3591,9930,9109,864000.0,126359.0,3591.6139240506327
98092,39816,44.63,892,14935,14129,287600.0,70877.0,892.1353349764731
98030,33769,7.12,4741,12739,11900,251700.0,51446.0,4742.837078651685
98119,21039,2.44,8638,11592,10682,608300.0,68383.0,8622.540983606557
98112,21077,3.16,6667,10897,10139,754200.0,96054.0,6669.93670886076
98052,58442,20.1,2908,25674,24008,465200.0,99192.0,2907.5621890547263
98027,26141,55.79,469,11248,10454,478800.0,100644.0,468.5606739559061
98117,31365,3.94,7953,14213,13667,463500.0,86986.0,7960.659898477157
98058,41938,18.93,2215,16120,15395,302200.0,77780.0,2215.4252509244584
98001,31911,18.59,1717,11249,10717,268800.0,71746.0,1716.5680473372781
98056,32489,7.52,4323,13746,12964,342600.0,70683.0,4320.345744680852
98166,20301,5.67,3580,8953,8282,386900.0,63320.0,3580.4232804232806
98023,47510,10.32,4604,18026,16912,265100.0,67906.0,4603.6821705426355
98070,10624,36.92,288,5552,4606,413400.0,72774.0,287.75731310942575
98148,10010,3.13,3194,4588,4230,255900.0,45424.0,3198.083067092652
98105,43924,4.13,10643,17161,15939,613900.0,45560.0,10635.351089588377
98042,43673,28.41,1537,15820,15097,297100.0,87342.0,1537.2404083069341
98008,24411,5.5,4437,9552,9173,457200.0,92986.0,4438.363636363636
98059,34463,19.98,1725,13004,12404,363500.0,91465.0,1724.8748748748749
98122,31454,2.31,13594,17123,15717,407600.0,53570.0,13616.450216450216
98144,26881,3.4,7895,12660,11511,391000.0,55950.0,7906.176470588235
98004,27946,7.03,3977,16568,13320,723300.0,93521.0,3975.24893314367
98005,17714,7.5,2361,8070,7539,568700.0,84774.0,2361.866666666667
98034,40407,9.13,4428,17880,16891,364900.0,77688.0,4425.739320920044
98075,20715,9.48,2185,7005,6733,614100.0,142926.0,2185.126582278481
98116,22241,2.96,7523,11961,11104,467900.0,74274.0,7513.851351351352
98010,5025,15.05,334,2017,1846,319300.0,85398.0,333.88704318936874
98118,42731,6.25,6841,16162,15127,350700.0,52276.0,6836.96
98199,19686,4.18,4714,9810,9098,606200.0,82882.0,4709.569377990431
98032,33853,16.72,2024,14451,13393,234700.0,48853.0,2024.7009569377992
98045,13888,336.99,41,5536,5192,368300.0,88906.0,41.21190539778628
98102,20756,1.31,15829,14289,13032,406000.0,65054.0,15844.274809160304
98077,13585,17.31,785,4775,4601,570700.0,137125.0,784.8064702484114
98108,22374,7.48,2989,8194,7643,326500.0,52232.0,2991.176470588235
98168,33734,8.89,3794,12541,11678,240000.0,49233.0,3794.6006749156354
98177,19030,5.7,3341,8078,7713,478600.0,95648.0,3338.59649122807
98065,12699,74.09,171,4556,4278,418900.0,121415.0,171.39964907544876
98029,24348,8.95,2719,10222,9656,446900.0,99974.0,2720.446927374302
98006,36364,10.69,3402,13891,13288,574000.0,110290.0,3401.683816651076
98109,20715,2.0,10361,13906,12419,451400.0,77034.0,10357.5
98022,20987,405.93,52,9179,8296,300800.0,66295.0,51.70103219766955
98033,34338,9.29,3696,16615,15249,528300.0,103250.0,3696.2325080731976
98155,32778,7.57,4330,13905,13231,340900.0,72281.0,4329.98678996037
98024,5650,23.92,236,2246,2079,490600.0,93777.0,236.2040133779264
98011,29212,8.19,3569,12646,11905,351000.0,71720.0,3566.788766788767
98031,36581,7.5,4877,12846,12242,271500.0,63709.0,4877.466666666666
98106,22873,5.5,4161,9990,9018,281700.0,57875.0,4158.727272727273
98072,22312,18.13,1231,9091,8434,466100.0,107654.0,1230.6674020959736
98188,23111,7.55,3062,9959,9263,226800.0,40815.0,3061.0596026490066
98014,6765,45.31,149,2631,2456,410900.0,95394.0,149.3047892297506
98055,21904,4.78,4585,9498,8786,266100.0,66461.0,4582.426778242678
98039,2971,1.44,2059,1163,1062,1000001.0,183833.0,2063.1944444444443
